"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 08 23:27:04 CET 2021","Fri Jan 08 23:27:06 CET 2021","1232","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Verify wishlist icon on the product is filled in","Verify wishlist icon on the product is filled in",""
"passed","Fri Jan 08 23:27:01 CET 2021","Fri Jan 08 23:27:03 CET 2021","2165","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Type 'möbel' in Search Input and see list of products ","Type 'möbel' in Search Input and see list of products ",""
"passed","Fri Jan 08 23:27:06 CET 2021","Fri Jan 08 23:27:07 CET 2021","872","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Verify User is navigated to WishlistPage and check the product image visible","Verify User is navigated to WishlistPage and check the product image visible",""
"passed","Fri Jan 08 23:27:06 CET 2021","Fri Jan 08 23:27:06 CET 2021","76","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Verify wishlist counter in the website header shows 1","Verify wishlist counter in the website header shows 1",""
"passed","Fri Jan 08 23:26:59 CET 2021","Fri Jan 08 23:27:01 CET 2021","1338","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Check the title and url of the Landing Page","Check the title and url of the Landing Page",""
"passed","Fri Jan 08 23:27:03 CET 2021","Fri Jan 08 23:27:04 CET 2021","732","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Click on the wishlist icon of the first product","Click on the wishlist icon of the first product",""
"passed","Fri Jan 08 23:27:04 CET 2021","Fri Jan 08 23:27:04 CET 2021","461","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Enter Login Credentials and click login submit button","Enter Login Credentials and click login submit button",""
"passed","Fri Jan 08 23:27:07 CET 2021","Fri Jan 08 23:27:08 CET 2021","1103","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Verify product is deleted from wishlist and check the list empty message","Verify product is deleted from wishlist and check the list empty message",""
"passed","Fri Jan 08 23:27:04 CET 2021","Fri Jan 08 23:27:04 CET 2021","353","","Add and Delete Product from the WishList","","Add and Delete Product from the WishList","Verify the login/registration overlay and click 'Hier einloggen' link","Verify the login/registration overlay and click 'Hier einloggen' link",""
